;x1;x2;x3;;y1;y2;y3;;z1;z2;z3
x15;1;0;0;;0;0.96593;0.25882;;0;-0.25882;0.96593
y15;0.96593;0.066987;-0.25;;0;0.96593;0.25882;;0.25882;-0.25;0.93301
z15;0.93301;0.3147;-0.17449;;-0.25;0.91568;0.3147;;0.25882;-0.25;0.93301
x30;0.93301;0.3147;-0.17449;;-0.17449;0.81977;0.54546;;0.3147;-0.47848;0.81977
y30;0.81977;0.42782;-0.38072;;-0.17449;0.81977;0.54546;;0.54546;-0.38072;0.74667
z30;0.74667;0.62541;-0.22657;;-0.38072;0.68111;0.62541;;0.54546;-0.38072;0.74667
x45;0.74667;0.62541;-0.22657;;-0.22657;0.55936;0.79736;;0.62541;-0.54403;0.55936
y45;0.55936;0.74491;-0.36362;;-0.22657;0.55936;0.79736;;0.79736;-0.36362;0.48166
z45;0.48166;0.8643;-0.14486;;-0.36362;0.34751;0.8643;;0.79736;-0.36362;0.48166
x60;0.48166;0.8643;-0.14486;;-0.14486;0.24155;0.95951;;0.8643;-0.44118;0.24155
y60;0.24155;0.94904;-0.20245;;-0.14486;0.24155;0.95951;;0.95951;-0.20245;0.19583
z60;0.19583;0.97922;0.052793;;-0.20245;-0.012307;0.97922;;0.95951;-0.20245;0.19583
x75;0.19583;0.97922;0.052793;;0.052793;-0.064285;0.99653;;0.97922;-0.19236;-0.064285
y75;-0.064285;0.99564;0.067632;;0.052793;-0.064285;0.99653;;0.99653;0.067632;-0.04843
z75;-0.04843;0.94507;0.32325;;0.067632;-0.31978;0.94507;;0.99653;0.067632;-0.04843
x90;-0.04843;0.94507;0.32325;;0.32325;-0.29138;0.90034;;0.94507;0.14809;-0.29138
y90;-0.29138;0.87454;0.38765;;0.32325;-0.29138;0.90034;;0.90034;0.38765;-0.19779
z90;-0.19779;0.76933;0.60747;;0.38765;-0.5078;0.76933;;0.90034;0.38765;-0.19779
